partyId,agent,seedIndex,decisions,repeatedTitlesExact,repeatedTitlesNormalized,repeatedNarrativesExact,repeatedNarrativesNormalized,repeatsWithin5,repeatsWithin10,chainJustifiedRepeats
lfi,risque,12,31,0,0,0,0,0,0,0
lfi,risque,13,29,0,0,0,0,0,0,0
lfi,risque,14,31,0,0,0,0,0,0,0
lfi,risque,15,31,0,0,0,0,0,0,0
lfi,risque,16,31,0,0,0,0,0,0,0
lfi,risque,17,31,0,0,0,0,0,0,0
lfi,risque,18,31,0,0,0,0,0,0,0
lfi,risque,19,31,0,0,0,0,0,0,0
lfi,risque,20,31,0,0,0,0,0,0,0
lfi,risque,21,31,0,0,0,0,0,0,0
lfi,risque,22,31,0,0,0,0,0,0,0
lfi,risque,23,31,0,0,0,0,0,0,0
lfi,risque,24,31,0,0,0,0,0,0,0
lfi,risque,25,31,0,0,0,0,0,0,0
lfi,risque,26,31,0,0,0,0,0,0,0
lfi,risque,27,31,0,0,0,0,0,0,0
lfi,risque,28,31,0,0,0,0,0,0,0
lfi,risque,29,31,0,0,0,0,0,0,0
lfi,risque,30,31,0,0,0,0,0,0,0
lfi,risque,31,31,0,0,0,0,0,0,0
lfi,risque,32,31,0,0,0,0,0,0,0
lfi,risque,33,31,0,0,0,0,0,0,0
lfi,risque,34,31,0,0,0,0,0,0,0
lfi,risque,35,29,0,0,0,0,0,0,0
lfi,risque,36,29,0,0,0,0,0,0,0
lfi,risque,37,31,0,0,0,0,0,0,0
lfi,risque,38,31,0,0,0,0,0,0,0
lfi,risque,39,31,0,0,0,0,0,0,0
lfi,risque,40,31,0,0,0,0,0,0,0
lfi,risque,41,31,0,0,0,0,0,0,0
lfi,risque,42,31,0,0,0,0,0,0,0
lfi,risque,43,31,0,0,0,0,0,0,0
lfi,risque,44,29,0,0,0,0,0,0,0
lfi,risque,45,31,0,0,0,0,0,0,0
lfi,risque,46,31,0,0,0,0,0,0,0
lfi,risque,47,31,0,0,0,0,0,0,0
lfi,risque,48,31,0,0,0,0,0,0,0
lfi,risque,49,31,0,0,0,0,0,0,0
lfi,risque,50,31,0,0,0,0,0,0,0
lfi,risque,51,31,0,0,0,0,0,0,0
lfi,risque,52,31,0,0,0,0,0,0,0
lfi,risque,53,31,0,0,0,0,0,0,0
lfi,risque,54,31,0,0,0,0,0,0,0
lfi,risque,55,31,0,0,0,0,0,0,0
lfi,risque,56,31,0,0,0,0,0,0,0
lfi,risque,57,31,0,0,0,0,0,0,0
lfi,risque,58,31,0,0,0,0,0,0,0
lfi,risque,59,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,0,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,1,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,2,29,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,3,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,4,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,5,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,6,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,7,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,8,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,9,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,10,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,11,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,12,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,13,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,14,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,15,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,16,29,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,17,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,18,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,19,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,20,31,0,0,0,0,0,0,0
lfi,ideologiquement_coherent,21,31,0,0,0,0,0,0,0
