runKey,partyId,agent,seedIndex,axis,startTrue,endTrue,startPerceived,endPerceived,deltaTrue,deltaPerceived
lfi:aleatoire:27,lfi,aleatoire,27,authority,-54,-55.434999999999995,-54,-58.1,-1.4349999999999952,-4.100000000000001
lfi:aleatoire:27,lfi,aleatoire,27,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:28,lfi,aleatoire,28,economy,-78,-77.43299999999999,-78,-76.38,0.5670000000000073,1.6200000000000045
lfi:aleatoire:28,lfi,aleatoire,28,society,-58,-58,-58,-58,0,0
lfi:aleatoire:28,lfi,aleatoire,28,europe,-48,-51.395,-48,-57.7,-3.395000000000003,-9.700000000000003
lfi:aleatoire:28,lfi,aleatoire,28,ecology,66,60.525999999999996,66,50.36,-5.474000000000004,-15.64
lfi:aleatoire:28,lfi,aleatoire,28,authority,-54,-57.92035,-54,-65.201,-3.920349999999999,-11.200999999999993
lfi:aleatoire:28,lfi,aleatoire,28,immigration,-38,-32.995,-38,-23.7,5.005000000000003,14.3
lfi:aleatoire:29,lfi,aleatoire,29,economy,-78,-72.08568939500002,-78,-61.101969700000005,5.914310604999983,16.898030299999995
lfi:aleatoire:29,lfi,aleatoire,29,society,-58,-57.195,-58,-55.7,0.8049999999999997,2.299999999999997
lfi:aleatoire:29,lfi,aleatoire,29,europe,-48,-44.045,-48,-36.7,3.9549999999999983,11.299999999999997
lfi:aleatoire:29,lfi,aleatoire,29,ecology,66,64.495,66,61.7,-1.5049999999999955,-4.299999999999997
lfi:aleatoire:29,lfi,aleatoire,29,authority,-54,-57.01,-54,-62.6,-3.009999999999998,-8.600000000000001
lfi:aleatoire:29,lfi,aleatoire,29,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:30,lfi,aleatoire,30,economy,-78,-74.09645,-78,-66.847,3.9035499999999956,11.153000000000006
lfi:aleatoire:30,lfi,aleatoire,30,society,-58,-57.195,-58,-55.7,0.8049999999999997,2.299999999999997
lfi:aleatoire:30,lfi,aleatoire,30,europe,-48,-43.870000000000005,-48,-36.2,4.1299999999999955,11.799999999999997
lfi:aleatoire:30,lfi,aleatoire,30,ecology,66,62.22,66,55.2,-3.780000000000001,-10.799999999999997
lfi:aleatoire:30,lfi,aleatoire,30,authority,-54,-57.0415,-54,-62.69,-3.041499999999999,-8.689999999999998
lfi:aleatoire:30,lfi,aleatoire,30,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:31,lfi,aleatoire,31,economy,-78,-70.39099999999999,-78,-56.260000000000005,7.609000000000009,21.739999999999995
lfi:aleatoire:31,lfi,aleatoire,31,society,-58,-58,-58,-58,0,0
lfi:aleatoire:31,lfi,aleatoire,31,europe,-48,-49.995000000000005,-48,-53.7,-1.9950000000000045,-5.700000000000003
lfi:aleatoire:31,lfi,aleatoire,31,ecology,66,61.07340000000001,66,51.924,-4.926599999999993,-14.076
