eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
campaign_donation_drive,donations_small_match,TRANSPARENT,326,84.04,0.853,0.733
campaign_union_meeting,union_branch_bargaining,TECHNIQUE,181,80.41,0.746,0.652
scandal_consultant_contract,consultant_contract_litigate,OFFENSIF,235,60.86,0.383,0.277
rare_fragmented_congress,fragmented_congress_new_election,OFFENSIF,119,72.72,0.655,0.454
internal_volunteer_conflict,volunteer_conflict_field,POPULAIRE,26,75.54,0.731,0.577
rare_congress_isolation,congress_isolation_double_down,OFFENSIF,69,81.84,0.841,0.594
program_border_control,border_control_systematic_checks,CLIVANT,659,79.01,0.756,0.615
campaign_door_to_door,doors_registration_drive,INSTITUTIONNEL,63,67.7,0.556,0.429
rare_hologram_revolt,hologram_phone,PRUDENT,75,87.03,0.907,0.773
debate_expose_contradiction_centrist,expose_contradiction_skip,PRUDENT,199,84.29,0.884,0.744
campaign_regional_rally,regional_lille_industry,POPULAIRE,472,78.05,0.742,0.597
government_prime_minister,prime_minister_party,LOYAL,296,88.96,0.98,0.953
program_digital_rights,digital_rights_independent_authority,INSTITUTIONNEL,67,81.27,0.791,0.657
internal_primary_debt,primary_debt_share,INSTITUTIONNEL,197,87.16,0.868,0.787
program_energy,energy_nuclear_priority,OFFENSIF,507,72.59,0.645,0.487
program_school_values,school_values_pedagogical_freedom,PRUDENT,461,81.82,0.813,0.707
program_institutions,institutions_constituent,CLIVANT,518,73.37,0.633,0.5
campaign_overseas_trip,overseas_water_authority,INSTITUTIONNEL,120,86.02,0.908,0.833
campaign_citizens_convention,convention_commit_three,TRANSPARENT,212,87.76,0.92,0.83
debate_duel_interruption,duel_interruption_moderator,INSTITUTIONNEL,361,69.57,0.551,0.488
campaign_bus_breakdown,bus_train_with_press,POPULAIRE,171,74.95,0.661,0.509
program_health,health_hospital_staff,POPULAIRE,544,76.04,0.686,0.561
internal_local_sections,local_sections_national_only,LOYAL,39,72.72,0.564,0.513
government_balance,government_balance_competence,TRANSPARENT,320,89.78,0.988,0.969
media_front_page,front_page_union_meeting,INSTITUTIONNEL,222,74.87,0.667,0.559
campaign_donation_drive,donations_bank_advance,TECHNIQUE,543,81.99,0.801,0.68
program_health,health_prevention_budget,TECHNIQUE,369,79.69,0.764,0.618
campaign_peripheral_town,periphery_one_month_audit,PRUDENT,71,64.37,0.521,0.352
debate_all_candidates,all_candidates_refuse_cut,CLIVANT,292,74.47,0.699,0.531
world_economic_slowdown,slowdown_budget_caution,PRUDENT,312,81.61,0.811,0.651
alliance_union_support,union_support_refuse_veto,PRÉSIDENTIEL,58,73.21,0.672,0.552
program_wages,wages_branch_negotiations,INSTITUTIONNEL,466,86.29,0.882,0.766
campaign_endorsements_missing,endorsements_public_appeal,OFFENSIF,449,65,0.497,0.365
campaign_bus_breakdown,bus_remote_townhall,PRUDENT,421,75.08,0.689,0.542
scandal_campaign_data,campaign_data_reset,PRUDENT,121,59.68,0.388,0.273
alliance_parliamentary_group,parliamentary_group_expertise,PRUDENT,386,87.33,0.891,0.819
program_labor_immigration,labor_immigration_sector_negotiation,RASSEMBLEUR,113,86.8,0.929,0.814
debate_free_conclusion,free_conclusion_democratic,RASSEMBLEUR,369,86.84,0.883,0.805
rare_debate_blackout,blackout_agree_rules,INSTITUTIONNEL,57,86.88,0.93,0.789
debate_all_candidates,all_candidates_local_adaptation,POPULAIRE,186,71.63,0.629,0.462
program_end_of_life,end_of_life_keep_ban,LOYAL,139,68.5,0.554,0.446
