variant,partyId,profile,seedIndex,decisions,finalScore,qualified,won,firstRoundScore,eventIdSetSize,eventIdSetHash,rankVolatility,pollStdev,rareOrChainOrConflictMoments,ideologyMoveTotal,actorMemoryEntries
F_no_delayed_consequences,ps,cautious,0,31,88,true,true,15.5,31,223652e6,0.129,1.62,3,6.57,3
A_baseline,ps,cautious,1,29,76,true,false,13.6,29,c3a40e69,0.138,1.33,4,11.14,3
B1_no_opportunistic_randomness,ps,cautious,1,25,56,false,false,11.5,25,df9b9413,0.4,1.7,2,7.91,3
B2_no_rare_events,ps,cautious,1,25,52,false,false,10.1,25,ba4428d8,0.28,0.98,4,9.73,2
C_no_narrative_memory,ps,cautious,1,31,86,true,true,15.3,31,dd2dfd2b,0.161,1.81,1,6.21,0
E_no_ideology_effects,ps,cautious,1,29,78,true,false,14.6,29,46ef4e7d,0.241,1.38,5,0,1
F_no_delayed_consequences,ps,cautious,1,29,82,true,false,16.1,29,782f8958,0.241,1.78,2,8.06,4
A_baseline,ps,cautious,2,31,91,true,true,17,31,445af6a0,0.097,1.8,2,7.23,1
B1_no_opportunistic_randomness,ps,cautious,2,31,87,true,true,16.5,31,5b221fcc,0.097,1.47,2,7.11,2
B2_no_rare_events,ps,cautious,2,29,80,true,false,15.7,29,9c8c69d,0.069,1.01,1,15.21,3
C_no_narrative_memory,ps,cautious,2,31,94,true,true,19.1,31,b4f0619d,0.129,2.17,3,5.68,0
E_no_ideology_effects,ps,cautious,2,29,81,true,false,17.2,29,a2b3b364,0.069,1.91,2,0,2
F_no_delayed_consequences,ps,cautious,2,31,93,true,true,18.6,31,3540ce6e,0.097,2.39,1,9.68,1
A_baseline,ps,cautious,3,31,90,true,true,16.7,31,db57c134,0.129,2.06,3,12.5,3
B1_no_opportunistic_randomness,ps,cautious,3,31,87,true,true,14.3,31,77ba5326,0.258,2.34,3,12.28,2
B2_no_rare_events,ps,cautious,3,29,83,true,false,15.4,29,84718af2,0.172,1.64,3,10.54,2
C_no_narrative_memory,ps,cautious,3,31,85,true,true,14.5,31,12a3e36d,0.355,1.81,5,2.09,0
E_no_ideology_effects,ps,cautious,3,31,83,true,true,13.7,31,c436e8ff,0.065,1.58,1,0,3
F_no_delayed_consequences,ps,cautious,3,31,87,true,true,15.5,31,3c1ef70c,0.194,1.59,5,5.62,4
A_baseline,ps,cautious,4,31,89,true,true,17,31,4231d28e,0.097,1.95,3,5.67,3
B1_no_opportunistic_randomness,ps,cautious,4,29,84,true,false,17.7,29,d68b708e,0.345,2.27,1,12.77,0
B2_no_rare_events,ps,cautious,4,29,79,true,false,14.6,29,69121a71,0.103,1.51,0,9.1,0
C_no_narrative_memory,ps,cautious,4,31,90,true,true,16.2,31,50b287f5,0.226,2.04,1,12.46,0
E_no_ideology_effects,ps,cautious,4,25,60,false,false,13.2,25,3ed75d91,0.36,1.01,3,0,2
F_no_delayed_consequences,ps,cautious,4,29,81,true,false,16.2,29,acc63420,0.31,1.77,2,8.01,1
A_baseline,ps,cautious,5,31,91,true,true,17.5,31,d292b92,0.097,1.55,0,8.98,1
B1_no_opportunistic_randomness,ps,cautious,5,29,82,true,false,14.9,29,8cc82c95,0.069,1.59,3,6.41,3
B2_no_rare_events,ps,cautious,5,25,59,false,false,11.5,25,145da063,0.28,1.33,1,9.27,1
C_no_narrative_memory,ps,cautious,5,31,86,true,true,14.4,31,b1b7daaa,0.194,1.69,3,6.58,0
E_no_ideology_effects,ps,cautious,5,31,89,true,true,17.9,31,25f5c912,0.161,1.57,2,0,1
F_no_delayed_consequences,ps,cautious,5,31,93,true,true,19.2,31,3e9f878d,0.129,1.4,5,5.27,3
A_baseline,ps,cautious,6,31,87,true,true,16.8,31,60f1f4c,0.161,1.08,1,5.51,2
B1_no_opportunistic_randomness,ps,cautious,6,31,90,true,true,16.7,31,8c52d229,0.161,1.44,1,6.65,1
B2_no_rare_events,ps,cautious,6,31,82,true,true,14.2,31,9a609ffd,0.065,1.37,3,3.41,3
C_no_narrative_memory,ps,cautious,6,29,82,true,false,16.1,29,35056924,0.138,1.36,4,3.04,0
E_no_ideology_effects,ps,cautious,6,31,86,true,true,16.2,31,9e11d15d,0.226,1.41,1,0,2
F_no_delayed_consequences,ps,cautious,6,31,84,true,true,13.3,31,ff3cfe5d,0.29,1.58,2,1.96,0
A_baseline,ps,cautious,7,31,92,true,true,18.1,31,c8174385,0.129,2.32,5,5.24,3
B1_no_opportunistic_randomness,ps,cautious,7,31,88,true,true,15.9,31,dc30246a,0.194,1.28,0,14.43,1
B2_no_rare_events,ps,cautious,7,29,80,true,false,14.3,29,258553ad,0.069,1.63,2,7.97,3
C_no_narrative_memory,ps,cautious,7,29,77,true,false,14.1,29,eacf913d,0.345,0.99,0,8.71,0
