margin_d0,margin_d0.25,margin_d0.4,margin_d0.5,margin_d0.62,margin_d0.75,margin_d1,runKey,agent,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,r1Margin,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,favoriteAtR1,favoriteWonR2,playerIsFinalist,playerWon,turnout,detLeftAt62,detRightAt62,detMarginAt62,detMarginAt100,detMarginAt0,retainedShareLeft,retainedShareRight,transferredShareLeft,transferredShareRight,dampingContributionToMargin
10.66,12.42,13.48,14.18,15.04,15.96,17.72,nouvelle_energie:risque:75,risque,nouvelle_energie,ps,23.2,14.7,8.5,60.3,39.7,20.6,nouvelle_energie,nouvelle_energie,true,true,true,71.9,57.52,42.48,15.04,17.72,10.66,62,38,23.11,19.74,2.68
3.12,7.46,10.06,11.8,13.9,16.14,20.48,nouvelle_energie:risque:76,risque,nouvelle_energie,rn,17,14.6,2.4,52.6,47.4,5.2,nouvelle_energie,nouvelle_energie,true,true,true,70.9,56.95,43.05,13.9,20.48,3.12,53.9,46.1,25.43,17.73,6.58
14.14,15.08,15.64,16.02,16.48,16.98,17.92,nouvelle_energie:risque:77,risque,nouvelle_energie,horizons,25.4,13.9,11.5,60.5,39.5,21,nouvelle_energie,nouvelle_energie,true,true,true,71.5,58.24,41.76,16.48,17.92,14.14,65.1,34.9,21.07,19.28,1.44
6.08,8.18,9.44,10.28,11.28,12.38,14.46,nouvelle_energie:risque:78,risque,nouvelle_energie,horizons,18.5,13.8,4.7,58.8,41.2,17.6,nouvelle_energie,nouvelle_energie,true,true,true,71,55.64,44.36,11.28,14.46,6.08,57.8,42.2,24.47,20.62,3.18
3.2,8.08,11,12.94,15.28,17.82,22.68,nouvelle_energie:risque:79,risque,nouvelle_energie,rn,17.6,15,2.6,56.6,43.4,13.2,nouvelle_energie,nouvelle_energie,true,true,true,71,57.64,42.36,15.28,22.68,3.2,54,46,26.13,17.36,7.4
0.32,4.36,6.78,8.4,10.34,12.44,16.48,nouvelle_energie:risque:80,risque,nouvelle_energie,rn,15.8,15.7,0.1,57.2,42.8,14.4,nouvelle_energie,nouvelle_energie,true,true,true,70.8,55.17,44.83,10.34,16.48,0.32,50.4,49.6,24.79,17.71,6.14
12.7,16.34,18.54,20,21.74,23.64,27.28,nouvelle_energie:risque:81,risque,nouvelle_energie,lfi,23.3,12.4,10.9,62.4,37.6,24.8,nouvelle_energie,nouvelle_energie,true,true,true,72.2,60.87,39.13,21.74,27.28,12.7,65.2,34.8,26.23,19.19,5.54
12.2,16.22,18.64,20.24,22.18,24.28,28.3,nouvelle_energie:risque:83,risque,nouvelle_energie,rn,23.7,13.9,9.8,60.2,39.8,20.4,nouvelle_energie,nouvelle_energie,true,true,true,71.6,61.09,38.91,22.18,28.3,12.2,63.5,36.5,24.22,16.74,6.12
6.94,9.32,10.74,11.7,12.84,14.08,16.44,nouvelle_energie:risque:84,risque,nouvelle_energie,ps,19.4,13.8,5.6,53.9,46.1,7.8,nouvelle_energie,nouvelle_energie,true,true,true,71.8,56.42,43.58,12.84,16.44,6.94,59.1,40.9,26.29,21.7,3.6
2.64,5.92,7.9,9.22,10.78,12.5,15.78,nouvelle_energie:risque:85,risque,nouvelle_energie,rn,18.1,16.2,1.9,50.2,49.8,0.4,nouvelle_energie,nouvelle_energie,true,true,true,71.2,55.39,44.61,10.78,15.78,2.64,53.1,46.9,23.56,17.68,5
4.22,5.18,5.76,6.14,6.62,7.12,8.08,nouvelle_energie:risque:86,risque,nouvelle_energie,horizons,17.7,14.1,3.6,57.1,42.9,14.2,nouvelle_energie,nouvelle_energie,true,true,true,70.8,53.31,46.69,6.62,8.08,4.22,55.6,44.4,24.03,22.24,1.46
7.38,8.08,8.52,8.8,9.14,9.5,10.2,nouvelle_energie:risque:87,risque,nouvelle_energie,horizons,20.5,14.4,6.1,56.3,43.7,12.6,nouvelle_energie,nouvelle_energie,true,true,true,71.4,54.57,45.43,9.14,10.2,7.38,59,41,23.29,21.95,1.06
11.08,12.82,13.86,14.56,15.4,16.3,18.04,nouvelle_energie:risque:88,risque,nouvelle_energie,ps,24.6,15.2,9.4,54.6,45.4,9.2,nouvelle_energie,nouvelle_energie,true,true,true,71.7,57.7,42.3,15.4,18.04,11.08,62.1,37.9,22.93,19.56,2.64
2.58,4.54,5.72,6.52,7.46,8.48,10.44,nouvelle_energie:risque:89,risque,nouvelle_energie,ps,16.2,14.2,2,53.2,46.8,6.4,nouvelle_energie,nouvelle_energie,true,true,true,71.6,53.73,46.27,7.46,10.44,2.58,53.6,46.4,26.53,22.8,2.98
12.4,13.14,13.58,13.88,14.24,14.62,15.38,nouvelle_energie:risque:90,risque,nouvelle_energie,horizons,24.2,14.1,10.1,59,41,18,nouvelle_energie,nouvelle_energie,true,true,true,71.5,57.12,42.88,14.24,15.38,12.4,63.7,36.3,21.72,20.31,1.14
4.9,6.46,7.38,8,8.74,9.54,11.1,nouvelle_energie:risque:91,risque,nouvelle_energie,ps,19.8,15.6,4.2,50.1,49.9,0.2,nouvelle_energie,nouvelle_energie,true,true,true,71.7,54.37,45.63,8.74,11.1,4.9,56.1,43.9,24.73,21.74,2.36
