pairId,withdrawnPartyId,partnerId,withdrawScore,maintainScore,scoreDelta,withdrawQualified,maintainQualified,qualificationChanged,withdrawWon,maintainWon,victoryChanged,finalistsChanged
cfA-lr-opportuniste_electoral-185,ecologistes,lfi,98,92,6,true,true,false,true,true,false,true
cfA-ps-parti_dabord-190,reconquete,rn,95,89,6,true,true,false,true,true,false,false
cfA-ecologistes-parti_dabord-191,reconquete,rn,93,96,-3,true,true,false,true,true,false,false
cfA-renaissance-parti_dabord-192,reconquete,rn,60,77,-17,false,true,true,false,true,true,true
cfA-rn-mediatique-204,lfi,ps,92,90,2,true,true,false,true,true,false,true
cfA-renaissance-contrarien-210,reconquete,rn,80,67,13,true,true,false,true,false,true,true
cfA-ps-aleatoire-217,reconquete,rn,83,89,-6,true,true,false,true,true,false,false
cfA-renaissance-aleatoire-219,reconquete,rn,56,83,-27,false,true,true,false,true,true,true
cfA-lr-aleatoire-221,reconquete,rn,90,89,1,true,true,false,true,true,false,true
cfA-nouvelle_energie-aleatoire-224,reconquete,rn,90,90,0,true,true,false,true,true,false,true
cfA-ecologistes-prudent-227,reconquete,rn,93,93,0,true,true,false,true,true,false,false
cfA-renaissance-prudent-228,reconquete,rn,84,71,13,true,true,false,true,false,true,false
cfA-ps-risque-235,reconquete,rn,95,86,9,true,true,false,true,false,true,true
cfA-ecologistes-risque-236,reconquete,rn,93,98,-5,true,true,false,true,true,false,true
cfA-renaissance-risque-237,reconquete,rn,80,54,26,true,false,true,true,false,true,true
cfA-horizons-risque-238,ecologistes,ps,91,89,2,true,true,false,true,true,false,false
cfA-ecologistes-ideologiquement_coherent-245,reconquete,rn,99,91,8,true,true,false,true,true,false,false
cfA-renaissance-ideologiquement_coherent-246,reconquete,rn,56,78,-22,false,true,true,false,true,true,true
cfA-lr-ideologiquement_coherent-248,reconquete,rn,95,88,7,true,true,false,true,true,false,true
cfA-lfi-opportuniste_electoral-252,reconquete,rn,68,78,-10,true,true,false,false,true,true,true
cfA-ps-opportuniste_electoral-253,reconquete,rn,87,66,21,true,false,true,true,false,true,true
cfA-lfi-parti_dabord-261,reconquete,rn,86,79,7,true,true,false,true,false,true,true
cfA-ps-parti_dabord-262,reconquete,rn,97,97,0,true,true,false,true,true,false,false
cfA-nouvelle_energie-parti_dabord-269,reconquete,rn,98,91,7,true,true,false,true,true,false,false
cfA-lr-mediatique-275,reconquete,rn,76,78,-2,true,true,false,false,false,false,false
cfA-rn-mediatique-276,ecologistes,ps,73,79,-6,true,true,false,false,false,false,true
cfA-nouvelle_energie-mediatique-278,ecologistes,ps,90,65,25,true,false,true,true,false,true,true
cfA-lfi-contrarien-279,reconquete,rn,76,83,-7,true,true,false,true,true,false,true
cfA-renaissance-contrarien-282,ecologistes,ps,46,46,0,false,false,false,false,false,false,true
cfA-nouvelle_energie-contrarien-287,reconquete,rn,60,81,-21,false,true,true,false,false,false,true
cfA-lr-aleatoire-293,reconquete,rn,89,77,12,true,true,false,true,false,true,false
cfA-ps-prudent-298,reconquete,rn,96,94,2,true,true,false,true,true,false,true
cfA-ecologistes-prudent-299,reconquete,rn,94,94,0,true,true,false,true,true,false,true
cfA-renaissance-prudent-300,reconquete,rn,83,85,-2,true,true,false,true,true,false,false
cfA-rn-prudent-303,ecologistes,ps,81,82,-1,true,true,false,true,true,false,true
cfA-lr-risque-311,reconquete,rn,86,90,-4,true,true,false,false,false,false,false
cfA-reconquete-risque-313,ecologistes,ps,52,66,-14,false,false,false,false,false,false,false
cfA-nouvelle_energie-risque-314,ecologistes,ps,94,81,13,true,true,false,true,false,true,false
cfA-renaissance-ideologiquement_coherent-318,reconquete,rn,82,84,-2,true,true,false,true,true,false,true
