partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,aleatoire,16,ecologistes,12.4,0.46,0.4099308824818704,0.5900691175181296
lfi,aleatoire,16,renaissance,10.6,0.355994532788215,0.41839821682301204,0.581601783176988
lfi,aleatoire,16,horizons,12,0.2482877560484174,0.3736507505097587,0.6263492494902413
lfi,aleatoire,16,lr,9.1,0.1505826733953962,0.3743421283281268,0.6256578716718733
lfi,aleatoire,16,reconquete,5.9,0.283328071534486,0.5135689072218855,0.48643109277811447
lfi,aleatoire,17,ps,13.4,0.32536930926408264,0.3199934143820993,0.6800065856179007
lfi,aleatoire,17,ecologistes,9.2,0.3902968464357456,0.32326938646525516,0.6767306135347448
lfi,aleatoire,17,renaissance,12.4,0.46,0.457857406250129,0.542142593749871
lfi,aleatoire,17,horizons,13.4,0.46,0.4853256198698581,0.5146743801301419
lfi,aleatoire,17,lr,8.3,0.41157265660237985,0.5419186606403779,0.45808133935962214
lfi,aleatoire,17,reconquete,5.5,0.2818280715344861,0.6512006359509597,0.34879936404904033
lfi,aleatoire,17,nouvelle_energie,9.2,0.4471697076609171,0.5295100886482907,0.47048991135170926
lfi,aleatoire,18,ps,10.2,0.33398393493022765,0.6607663432660479,0.3392336567339521
lfi,aleatoire,18,ecologistes,7.3,0.40854076158548713,0.6450799900541868,0.3549200099458132
lfi,aleatoire,18,renaissance,11.3,0.46,0.5390955178354006,0.46090448216459945
lfi,aleatoire,18,horizons,11.9,0.46,0.5125108533840722,0.4874891466159278
lfi,aleatoire,18,lr,11.1,0.39927265660237987,0.45592150894015626,0.5440784910598437
lfi,aleatoire,18,reconquete,7,0.31952807153448604,0.3986542778820552,0.6013457221179448
lfi,aleatoire,18,nouvelle_energie,11.1,0.43486970766091715,0.46883770543970593,0.5311622945602941
lfi,aleatoire,19,ps,10.9,0.39335803527610264,0.6104633928135798,0.38953660718642025
lfi,aleatoire,19,ecologistes,10.5,0.4114268890040823,0.6558127259897948,0.3441872740102052
lfi,aleatoire,19,renaissance,11.3,0.46,0.5529354323222688,0.4470645676777312
lfi,aleatoire,19,horizons,9.5,0.46,0.5220241185775882,0.47797588142241176
lfi,aleatoire,19,lr,11.1,0.40247265660237985,0.4674672080554932,0.5325327919445069
lfi,aleatoire,19,reconquete,5.3,0.32272807153448607,0.413205774377563,0.586794225622437
